traditional	simplified	pinyin	translation_fr-FR
病情	病情	bing4 qing2	"état__condition"
病房	病房	bing4 fang2	"chambre d'hôpital"
病機	病机	bing4 ji1	"interprétation de la cause__apparition et processus d'une maladie__pathogénèse"
病死	病死	bing4 si3	"mourir de maladie"
病殘	病残	bing4 can2	"malade__handicapé__invalide__invalidité"
病毒	病毒	bing4 du2	"virus"
病毒感染	病毒感染	bing4 du2 gan3 ran3	"infection virale"
病理	病理	bing4 li3	"pathologie"
病病歪歪	病病歪歪	bing4 bing5 wai1 wai1	"(expr. idiom.) malade et faible__faible et apathique__faible et indolent"
病病殃殃	病病殃殃	bing4 bing5 yang1 yang1	"gravement malade__de santé fragile"
病症	病症	bing4 zheng4	"symptôme__affection__maladie"
病痛	病痛	bing4 tong4	"légère maladie__indisposition__affection"
病的	病的	bing4 de5	"malade (adj.)"
病秧子	病秧子	bing4 yang1 zi5	"(famil.) personne infirme__maladive"
病篤	病笃	bing4 du3	"gravement malade__sur son lit de mort"
病恥感	病耻感	bing4 chi3 gan3	"stigmate attaché à une maladie"
病苦	病苦	bing4 ku3	"douleurs__souffrances"
病菌	病菌	bing4 jun1	"microbe pathogène__germe__bactérie (nocive)"
病蟲害	病虫害	bing4 chong2 hai4	"maladie des plantes__ravages des insectes"
病逝	病逝	bing4 shi4	"mourir de maladie"
病重	病重	bing4 zhong4	"gravement malade"
病魔	病魔	bing4 mo2	"maladie grave"
癥	症	zheng1	"tumeur abdominale__occlusion intestinale__point de friction"
症	症	zheng4	"maladie"
症狀	症状	zheng4 zhuang4	"symptôme"
癰	痈	yong1	"ulcère__abcès"
痙	痉	jing4	"spasme"
痙攣	痉挛	jing4 luan2	"se contorsionner__spasme__convulsion"
痊	痊	quan2	"récupérer (d'une maladie)"
痊癒	痊愈	quan2 yu4	"guérir__recouvrer la santé"
痍	痍	yi2	"blessure__plaie"
痏	痏	wei3	"ecchymose__contusion"
痐	痐	hui2	"Ascaris (parasite)"
癢	痒	yang3	"gratter__démanger__démangeaison"
癢癢	痒痒	yang3 yang5	"chatouiller__démanger"
癢癢撓	痒痒挠	yang3 yang5 nao2	"gratte-dos (fait en bambou etc.)"
癢癢鼠與抓抓貓	痒痒鼠与抓抓猫	yang3 yang3 shu3 yu3 zhua1 zhua1 mao1	"Itchy et Scratchy (série TV)"
痔	痔	zhi4	"hémorroïdes"
痔瘡	痔疮	zhi4 chuang1	"hémorroïdes"
痕	痕	hen2	"cicatrice"
痕跡	痕迹	hen2 ji4	"marque__trace"
痗	痗	mei4	"maladie causée par l'anxiété"
痘	痘	dou4	"variole__petite vérole"
痚	痚	xiao1	"asthme__difficulté à respirer"
痛	痛	tong4	"fort__excessivement__avoir mal__douleur"
痛不欲生	痛不欲生	tong4 bu4 yu4 sheng1	"(expr. idiom.) souffrir à en préférer la mort"
痛擊	痛击	tong4 ji1	"attaque punitive__répression"
痛哭	痛哭	tong4 ku1	"pleurer amèrement"
痛失	痛失	tong4 shi1	"subir la perte douloureuse de__passer à côté de"
痛定思痛	痛定思痛	tong4 ding4 si1 tong4	"(expr. idiom.) tirer une leçon d'une affaire fâcheuse"
痛心	痛心	tong4 xin1	"affligé__désolé"
痛快	痛快	tong4 kuai4	"joyeux__ravi__franc__joyeusement__sans hésiter"
痛快淋漓	痛快淋漓	tong4 kuai4 lin2 li2	"joyeux__fougueux__incisif"
痛恨	痛恨	tong4 hen4	"détester__haïr__avoir en horreur"
痛楚	痛楚	tong4 chu3	"douleur__souffrance"
痛經	痛经	tong4 jing1	"Dysménorrhée"
痛苦	痛苦	tong4 ku3	"douleur__souffrance"
痛風	痛风	tong4 feng1	"goutte (maladie)"
痞	痞	pi3	"constipation__obstruction d'entrailles__dyspepsie"
痞子	痞子	pi3 zi5	"canaille__gredin"
痞子蔡	痞子蔡	Pi3 zi5 Cai4	"Rowdy Cai (auteur internet taïwanais)"
痠	痠	suan1	"Acide"
痢	痢	li4	"diarrhée__dysenterie"
痣	痣	zhi4	"naevus__grain de beauté__tache de naissance"
痤	痤	cuo2	"acné"
痤瘡	痤疮	cuo2 chuang1	"acné"
痦	痦	wu4	"grain de beauté (plat)"
痧	痧	sha1	"choléra"
癆	痨	lao2	"tuberculose"
瘓	痪	huan4	"maladie__souffrance"
癇	痫	xian2	"épilepsie__folie"
痯	痯	guan3	"avoir mauvaise mine__être découragé__être abattu__être épuisé"
痰	痰	tan2	"crachat__mucus"
痱	痱	fei4	"fièvre miliaire__chaleur épineuse"
痲	痲	ma2	"lèpre"
癡	痴	chi1	"sot__idiot__stupide__imbécile"
痴人說夢	痴人说梦	chi1 ren2 shuo1 meng4	"divagations__non-sens__chimère"
癡呆	痴呆	chi1 dai1	"imbécillité__démence__idiot__niais"
痴心	痴心	chi1 xin1	"engouement"
癡情	痴情	chi1 qing2	"amour passionné__passion aveugle__amour éffréné"
痴想	痴想	chi1 xiang3	"rêverie__voeu pieux__chimère"
痴迷	痴迷	chi1 mi2	"se passionner"
痵	痵	ji4	"nervosité en début de sommeil"
痺	痹	bi4	"paralysie__engourdissement"
痼	痼	gu4	"maladie incurable"
痾	痾	e1	"maladie"
痿	痿	wei3	"atrophie"
瘀	瘀	yu1	"sang extravasé"
瘁	瘁	cui4	"fatigue__usé"
瘃	瘃	zhu2	"engelure"
癉	瘅	dan1	"sorte de malaria"
癉	瘅	dan4	"mal__affliger"
瘮人	瘆人	shen4 ren2	"personne effrayante"
瘮得慌	瘆得慌	shen4 de5 huang1	"effrayant__effrayé"
瘈	瘈	ji4	"furieux__hydrophobie__folie"
瘊	瘊	hou2	"tache__verrue"
瘌	瘌	la4	"lèpre__gale"
瘏	瘏	tu2	"être blessé__malade (pour un animal)"
瘐	瘐	yu3	"maltraiter (prisonniers)"
瘐死	瘐死	yu3 si3	"mourir de faim ou de maladie"
瘐斃	瘐毙	yu3 bi4	"mourir de faim ou de maladie"
瘕	瘕	jia3	"obstruction de l'intestin"
瘞	瘗	yi4	"enterrer"
瘻	瘘	lou4	"ulcère purulent"
瘻管	瘘管	lou4 guan3	"fistule"
瘙	瘙	sao4	"démangeaison__ancien terme pour la gale"
瘙癢	瘙痒	sao4 yang3	"prurit__démangeaison"
瘛瘲	瘛疭	chi4 zong4	"convulsion clonique (TCM)"
瘜	瘜	xi2	"polype"
瘝	瘝	guan1	"incapable__inefficace"
瘟	瘟	wen1	"épidémie__peste"
瘟疫	瘟疫	wen1 yi4	"pandémie"
瘠	瘠	ji2	"maigre"
瘠薄	瘠薄	ji2 bo2	"stérile__pauvre__aride"
瘢	瘢	ban1	"cicatrice__marque de la petite vérole"
癅	瘤	liu2	"tumeur"
瘥	瘥	cuo2	"maladie"
瘥	瘥	chai4	"se remettre de la maladie"
瘦	瘦	shou4	"maigre__mince__étroit"
瘦伶仃	瘦伶仃	shou4 ling2 ding1	"émacié__maigre__mince"
瘦削	瘦削	shou4 xue1	"maigre__émacié__chétif"
瘦小	瘦小	shou4 xiao3	"légèrement bâti__menu (adj.)"
瘦巴巴	瘦巴巴	shou4 ba1 ba1	"mince__maigrichon__émacié"
瘦弱	瘦弱	shou4 ruo4	"maigre et faible"
瘦肉	瘦肉	shou4 rou4	"viande maigre"
瘦身男女	瘦身男女	shou4 shen1 nan2 ru3	"Love on a Diet (film)"
瘦骨棱棱	瘦骨棱棱	shou4 gu3 leng2 leng2	"osseux__maigrichon__maigre"
瘨	瘨	dian1	"convulsions__fou"
瘩	瘩	da2	"bouton__pustule__furoncle"
癟	瘪	bie3	"ratatiné__contracté__dégonflé"
癱	瘫	tan1	"paralysie"
癱瘓	瘫痪	tan1 huan4	"paralysie"
癱軟	瘫软	tan1 ruan3	"mou__faible"
瘭	瘭	biao1	"panaris"
瘯	瘯	cu4	"maladie de peau"
瘰	瘰	luo3	"scrofule"
瘳	瘳	chou1	"guéri"
瘴	瘴	zhang4	"malaria"
瘵	瘵	zhai4	"phtisie__consomption"
瘸	瘸	que2	"boiter"
瘺	瘺	lou4	"Fistule"
瘼	瘼	mo4	"détresse"
癮	瘾	yin3	"gout__passion"
癭	瘿	ying3	"goitre"
癀	癀	huang2	"Charbon (maladie)"
癀病	癀病	huang2 bing4	"anthrax (dial.)"
癃	癃	long2	"infirme"
癌	癌	ai2	"carcinome__cancer"
癌症	癌症	ai2 zheng4	"cancer"
癌症學	癌症学	ai2 zheng4 xue2	"cancérologie"
癌細胞	癌细胞	ai2 xi4 bao1	"cellule cancéreuse"
癔	癔	yi4	"Hystérie"
癖	癖	pi3	"manie"
癖好	癖好	pi3 hao4	"gout__intérêt__passion__penchant"
癙	癙	shu3	"caché__secret__scrofule"
癜	癜	dian4	"leucodermie__érythème"
癩	癞	lai4	"maladie de peau__lèpre__gale"
癩皮狗	癞皮狗	lai4 pi2 gou3	"chien galeux__(fig.) personne répugnante"
癠	癠	ji4	"maladie__malade"
癢	癢	yang3	"Prurit"
癬	癣	xuan3	"teigne__dartre__herpès__impétigo__mycose__tinea"
癥	癥	zheng1	"symptôme"
癲	癫	dian1	"folie__démence__fureur__convulsions__attaques"
癲癇	癫痫	dian1 xian2	"épilepsie"
癲癇患者	癫痫患者	dian1 xian2 huan4 zhe3	"personne épileptique"
癶	癶	bo1	"marcher les pieds en canard"
癶	癶	bo4	"tente à pointe (radical)"
癸	癸	gui3	"10e des 10 Troncs célestes"
癸未	癸未	gui3 wei4	"vingtième année J8 du cycle de 60 ans (par ex. 2003 ou 2063)"
癸水	癸水	gui3 shui3	"menstruations"
癸酉	癸酉	gui3 you3	"dixième année J10 du cycle de 60 ans (par ex. 1993 ou 2053)"
登	登	deng1	"grimper__publier__inscrire__noter__fouler__mettre (une chaussure)"
登上	登上	deng1 shang4	"escalader__monter sur__monter"
登入	登入	deng1 ru4	"s'identifier (sur un ordinateur)__entrer (des données)"
登出	登出	deng1 chu1	"sortir__quitter__se déconnecter"
登別市	登别市	deng1 bie2 shi4	"Noboribetsu (Japon)"
登加樓	登加楼	deng1 jia1 lou2	"Terengganu (Malaisie)"
登颱	登台	deng1 tai2	"monter à la tribune__paraître sur scène"
登嘉樓	登嘉楼	deng1 jia1 lou2	"Terengganu (Malaisie)"
登場	登场	deng1 chang3	"entrer en scène__parvenir sur l'aire de battage__arriver à maturité"
登城節	登城节	deng1 cheng2 jie2	"Fête de l'Escalade (Genève)"
登基	登基	deng1 ji1	"monter sur le trône__accéder au trône"
登封	登封	Deng1 feng1	"Dengfeng (Henan)"
登封市	登封市	Deng1 feng1 shi4	"Dengfeng (Henan)"
登山	登山	deng1 shan1	"escalader une montagne__alpinisme__escalade"
登山扣	登山扣	deng1 shan1 kou4	"mousqueton"
登峰造極	登峰造极	deng1 feng1 zao4 ji2	"atteindre les plus hauts niveaux"
登錄	登录	deng1 lu4	"entrer__s'identifier__se connecter"
登錄名	登录名	deng1 lu4 ming2	"nom de connexion"
登德爾萊厄夫	登德尔莱厄夫	deng1 de2 er3 lai2 e4 fu2	"Denderleeuw (Belgique)"
登德爾蒙德	登德尔蒙德	deng1 de2 er3 meng2 de2	"Termonde (Belgique)"
登時	登时	deng1 shi2	"immédiatement__à la fois"
登機	登机	deng1 ji1	"embarquer dans un avion"
登機牌	登机牌	deng1 ji1 pai2	"carte d'embarquement"
登海爾德	登海尔德	deng1 hai3 er3 de2	"Le Helder (Pays-Bas)"
登蓋萊區	登盖莱区	deng1 gai4 lai2 qu1	"Denguélé (Côte d'Ivoire)"
登記	登记	deng1 ji4	"enregistrer__inscrire"
登記表	登记表	deng1 ji4 biao3	"formulaire d'inscription"
登記證	登记证	deng1 ji4 zheng4	"certificat d'inscription"
登載	登载	deng1 zai3	"insérer (dans la presse)__publier"
登門	登门	deng1 men2	"rendre visite à qqn"
登陸	登陆	deng1 lu4	"atterrissage"
白	白	bai2	"blanc__clair__pur__en vain"
白三烯	白三烯	bai2 san1 xi1	"leucotriène"
白絲帶	白丝带	bai2 si1 dai4	"Le Ruban blanc (film)"
白雲	白云	bai2 yun2	"nuage blanc"
白井市	白井市	bai2 jing3 shi4	"Shiroi (Japon)"
白人	白人	bai2 ren2	"blanc (être humain)__de peau blanche"
白住	白住	bai2 zhu4	"vivre gratuitement (quelque part)"
白佛	白佛	bai2 fo2	"demander à Bouddha de__conjurer Bouddha de__prier Bouddha de"
白俄	白俄	Bai2 e2	"Biélorussie__Bélarus"
白俄羅斯	白俄罗斯	Bai2 e2 luo2 si1	"Biélorussie"
白兀鷲	白兀鹫	bai2 wu4 jiu4	"Percnoptère__Vautour percnoptère"
白兔	白兔	bai2 tu4	"lapin blanc"
白蘭恩	白兰恩	bai2 lan2 en1	"SK Brann (club norvégien de football)"
白內障	白内障	bai2 nei4 zhang4	"cataracte (maladie)"
白冠噪鶥	白冠噪鹛	bai2 guan1 zao4 mei2	"Garrulaxe à huppe blanche"
白冠攀雀	白冠攀雀	bai2 guan1 pan1 que4	"Rémiz couronnée"
白冠燕尾	白冠燕尾	bai2 guan1 yan4 wei3	"Énicure de Leschenault"
白冠長尾雉	白冠长尾雉	bai2 guan1 chang2 wei3 zhi4	"Faisan vénéré"
白淨	白净	bai2 jing4	"beau et clair"
白刃戰	白刃战	bai2 ren4 zhan4	"combat au corps à corps"
白廳	白厅	Bai2 ting1	"Whitehall (Londres)"
白髮	白发	bai2 fa4	"cheveux blancs ou gris"
白髮蒼蒼	白发苍苍	bai2 fa4 cang1 cang1	"vieux et aux cheveux gris"
白吃	白吃	bai2 chi1	"quémander sa nourriture__mendier sa nourriture"
白名單	白名单	bai2 ming2 dan1	"liste blanche"
白喉冠鵯	白喉冠鹎	bai2 hou2 guan1 bei1	"Bulbul pâle"
白喉噪鶥	白喉噪鹛	bai2 hou2 zao4 mei2	"Garrulaxe à gorge blanche"
白喉姬鶲	白喉姬鹟	bai2 hou2 ji1 weng1	"Gobemouche à gorge blanche"
白喉扇尾鶲	白喉扇尾鹟	bai2 hou2 shan4 wei3 weng1	"Rhipidure à gorge blanche"
白喉斑秧雞	白喉斑秧鸡	bai2 hou2 ban1 yang1 ji1	"Râle de forêt (oiseau)"
白喉桿菌	白喉杆菌	bai2 hou2 gan3 jun1	"bacille de Klebs-Loeffler__bacille diphtérique"
白喉林鶯	白喉林莺	bai2 hou2 lin2 ying1	"Fauvette babillarde"
白喉林鶲	白喉林鹟	bai2 hou2 lin2 weng1	"Gobemouche à poitrine brune"
白喉犀鳥	白喉犀鸟	bai2 hou2 xi1 niao3	"Calao d'Austen"
白喉短翅鶇	白喉短翅鸫	bai2 hou2 duan3 chi4 dong1	"Petite Brachyptère"
白喉石鵖	白喉石鵖	bai2 hou2 shi2 bi1	"Tarier de Hodgson"
白喉磯鶇	白喉矶鸫	bai2 hou2 ji1 dong1	"Monticole à gorge blanche"
白喉紅尾鴝	白喉红尾鸲	bai2 hou2 hong2 wei3 qu2	"Rougequeue à gorge blanche"
白喉針尾雨燕	白喉针尾雨燕	bai2 hou2 zhen1 wei3 yu3 yan4	"Martinet épineux"
白嘴端鳳頭燕鷗	白嘴端凤头燕鸥	bai2 zui3 duan1 feng4 tou2 yan4 ou1	"Sterne caugek"
白城	白城	Bai2 cheng2	"Baicheng (Jilin)"
白城市	白城市	Bai2 cheng2 shi4	"Baicheng (Jilin)"
白大衣高血壓	白大衣高血压	bai2 da4 yi1 gao1 xue4 ya1	"lymphome du manteau"
白天	白天	bai2 tian1	"le jour__en plein jour__pendant la journée__toute la sainte journée"
白頭	白头	bai2 tou2	"tête aux cheveux blancs__vieillesse__érismature à tête blanche"
白頭鶪鶥	白头䴗鹛	bai2 tou2 ju2 mei2	"Gampsorin à tête blanche"
白頭山	白头山	Bai2 tou2 shan1	"Mont Paektu (Corée du Nord)"
白頭鵐	白头鹀	bai2 tou2 wu2	"Bruant à calotte blanche"
白頭鷂	白头鹞	bai2 tou2 yao4	"Busard des roseaux"
白頭鶴	白头鹤	bai2 tou2 he4	"Grue moine"
白嫩	白嫩	bai2 nen4	"(peau, etc.) sensible__délicat"
白子	白子	bai2 zi3	"pièce blanche d'échec__nymphe d'abeille__albinos"
白安居	白安居	Bai2 an1 ju1	"B&Q (société)"
白宮	白宫	Bai2 gong1	"Maison Blanche"
白宮群英	白宫群英	Bai2 gong1 Qun2 ying1	"La Maison Blanche (série TV)"
白富美	白富美	bai2 fu4 mei3	"(se dit d'une femme) jeune et riche perle (de beauté)__belle, jeune et riche__BCBG (bon chic bon genre)__Mme parfaite"
白尾鳾	白尾䴓	bai2 wei3 shi1	"Sittelle de l'Himalaya"
白尾地鴉	白尾地鸦	bai2 wei3 di4 ya1	"Podoce de Biddulph"
白尾梢虹雉	白尾梢虹雉	bai2 wei3 shao1 hong2 zhi4	"Lophophore de Sclater"
白尾海鵰	白尾海雕	bai2 wei3 hai3 diao1	"Pygargue à queue blanche"
白尾藍仙鶲	白尾蓝仙鹟	bai2 wei3 lan2 xian1 weng1	"Gobemouche à queue blanche"
白尾藍地鴝	白尾蓝地鸲	bai2 wei3 lan2 di4 qu2	"Notodèle à queue blanche"
白尾鷂	白尾鹞	bai2 wei3 yao4	"Busard Saint-Martin"
白尾鸏	白尾鹲	bai2 wei3 meng2	"Phaéton à bec jaune__Phaéton à queue blanche__Petit Phaéton"
白居易	白居易	Bai2 Ju1 yi4	"Bai Juyi"
白山市	白山市	Bai2 shan1 shi4	"Baishan (Jilin)"
白島	白岛	bai2 dao3	"Kvitøya (Norvège)"
白布	白布	bai2 bu4	"calicot__tenue blanche"
白帶	白带	bai2 dai4	"leucorrhée"
白帶魚	白带鱼	bai2 dai4 yu2	"poisson-sabre__Trichiurus haumela"
白平衡	白平衡	bai2 ping2 heng2	"Balance des blancs"
白開水	白开水	bai2 kai1 shui3	"eau bouillie__eau bouillante"
白必圖	白必图	bai2 bi4 tu2	"Bebeto (footballeur brésilien)"
白手起家	白手起家	bai2 shou3 qi3 jia1	"faire sa fortune à la force du poignet__créer qch en partant de rien"
白斑尾柳鶯	白斑尾柳莺	bai2 ban1 wei3 liu3 ying1	"Pouillot d'Olgivie-Grant"
白斑病	白斑病	bai2 ban1 bing4	"vitiligo"
白斑症	白斑症	bai2 ban1 zheng4	"vitiligo"
白斑翅擬蠟嘴雀	白斑翅拟蜡嘴雀	bai2 ban1 chi4 ni3 la4 zui3 que4	"Gros-bec à ailes blanches"
白斑翅雪雀	白斑翅雪雀	bai2 ban1 chi4 xue3 que4	"Niverolle alpine"
白族	白族	Bai2 zu2	"Bai (groupe ethnique)"
白日	白日	bai2 ri4	"diurne__Soleil"
白日夢	白日梦	bai2 ri4 meng4	"rêverie"
白晝	白昼	bai2 zhou4	"en journée__de jour__en plein jour"
白暨豚	白暨豚	bai2 ji4 tun2	"dauphin de Chine__dauphin blanc"
白條	白条	bai2 tiao2	"IOU (I owe you)__document informel reconnaissant une dette"
白楊	白杨	bai2 yang2	"peuplier"
白板	白板	bai2 ban3	"Tableau blanc"
白果	白果	bai2 guo3	"fruit de ginkgo biloba"
白水	白水	bai2 shui3	"Baishui"
白沙瓦	白沙瓦	Bai2 sha1 wa3	"Peshawar (Pakistan)"
白海城	白海城	bai2 hai3 cheng2	"Belomorsk (Russie)"
白點噪鶥	白点噪鹛	bai2 dian3 zao4 mei2	"Garrulaxe de Biet"
白熱化	白热化	bai2 re4 hua4	"incandescent__à son comble"
白煮	白煮	bai2 zhu3	"bouillir à l'eau"
白狼遊戲	白狼游戏	bai2 lang2 you2 xi4	"White Wolf Publishing (société)"
白璧微瑕	白璧微瑕	bai2 bi4 wei1 xia2	"légère imperfection"
白璧無瑕	白璧无瑕	bai2 bi4 wu2 xia2	"intégrité morale irréprochable"
白痴	白痴	bai2 chi1	"idiot__stupidité__attardé"
白癜風	白癜风	bai2 dian4 feng1	"vitiligo"
白癡	白癡	bai2 chi1	"idiotisme (maladie)__idiotie__idiot"
白白	白白	bai2 bai2	"en vain__pour rien"
白皙	白皙	bai2 xi1	"blanc jaunâtre"
白皮書	白皮书	bai2 pi2 shu1	"livre blanc"
白相人	白相人	bai2 xiang4 ren2	"(dial.) voyou"
白眉地鶇	白眉地鸫	bai2 mei2 di4 dong1	"grive de Sibérie"
白眉姬鶲	白眉姬鹟	bai2 mei2 ji1 weng1	"Gobemouche à croupion jaune"
白眉山雀	白眉山雀	bai2 mei2 shan1 que4	"Mésange à sourcils blancs"
白眉山鷓鴣	白眉山鹧鸪	bai2 mei2 shan1 zhe4 gu1	"Torquéole de Sonnerat"
白眉扇尾鶲	白眉扇尾鹟	bai2 mei2 shan4 wei3 weng1	"Rhipidure à grands sourcils"
白眉朱雀	白眉朱雀	bai2 mei2 zhu1 que4	"Roselin à sourcils blancs"
白眉林鴝	白眉林鸲	bai2 mei2 lin2 qu2	"Rossignol à sourcils blancs"
白眉歌鶇	白眉歌鸫	bai2 mei2 ge1 dong1	"Grive mauvis"
白眉秧雞	白眉秧鸡	bai2 mei2 yang1 ji1	"Marouette grise"
白眉藍姬鶲	白眉蓝姬鹟	bai2 mei2 lan2 ji1 weng1	"Gobemouche ultramarin"
白眉赤眼	白眉赤眼	bai2 mei2 chi4 yan3	"(expr. idiom.) sans raison"
白眉雀鶥	白眉雀鹛	bai2 mei2 que4 mei2	"Fulvetta de Hodgson__Alcippe de Hodgson"
白眉鵐	白眉鹀	bai2 mei2 wu2	"Emberiza tristrami"
白眶斑翅鶥	白眶斑翅鹛	bai2 kuang4 ban1 chi4 mei2	"Actinodure de Ramsay"
白眶雀鶥	白眶雀鹛	bai2 kuang4 que4 mei2	"Alcippe du Népal"
白眶鴉雀	白眶鸦雀	bai2 kuang4 ya1 que4	"Paradoxornis à lunettes"
白眶鶲鶯	白眶鹟莺	bai2 kuang4 weng1 ying1	"Pouillot affin"
白眼	白眼	bai2 yan3	"regard froid__dédaigneux__méprisant"
白眼河燕	白眼河燕	bai2 yan3 he2 yan4	"Pseudolangrayen d'Asie"
白眼狼	白眼狼	bai2 yan3 lang2	"ingrat"
白石	白石	bai2 shi2	"Baek Sok (poète nord-coréen)"
白碑	白碑	bai2 bei1	"stèle sans inscription"
白福兒	白福儿	Bai2 fu2 er5	"folle-blanche (cépage)"
白糖	白糖	bai2 tang2	"sucre blanc"
白素貞	白素贞	Bai2 Su4 zhen1	"Bai Suzhen (nom d'un personnage de la légende du serpent blanc)"
白紙男	白纸男	bai2 zhi3 nan2	"homme vierge__homme n'ayant jamais eu de partenaire"
白線	白线	bai2 xian4	"ligne blanche (marquage routier)"
白線斑蚊	白线斑蚊	bai2 xian4 ban1 wen2	"Aedes albopictus (espèce de moustique)"
白細胞	白细胞	bai2 xi4 bao1	"leucocyte"
白羅斯	白罗斯	Bai2 luo2 si1	"Biélorussie"
白羊	白羊	Bai2 yang2	"Bélier (astrologie)"
白羊座	白羊座	Bai2 yang2 zuo4	"Bélier (constellation, signe du zodiaque)"
白翅交嘴雀	白翅交嘴雀	bai2 chi4 jiao1 zui3 que4	"Bec-croisé bifascié"
白翅啄木鳥	白翅啄木鸟	bai2 chi4 zhuo2 mu4 niao3	"Pic à ailes blanches"
